"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"d:\Programming\Projects\library\client\.eslintrc.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"d:\Programming\Projects\library\client\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"d:\Programming\Projects\library\client\package-lock.json", "JSON", 18515, 0, 0, 0, 0, 0, 0, 0, 1, 18516
"d:\Programming\Projects\library\client\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"d:\Programming\Projects\library\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 23, 2, 48
"d:\Programming\Projects\library\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Programming\Projects\library\client\src\App.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Programming\Projects\library\client\src\_codux\boards\login-page.board.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\components\feedback\dialog\alert-dialog.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-full.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 4, 3, 36
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\Programming\Projects\library\client\src\components\forms\hooks\useLengthTrigger\uselengthTrigger.hook.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 1, 4, 18
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"d:\Programming\Projects\library\client\src\components\forms\link-button\link-button.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\Programming\Projects\library\client\src\components\forms\search-query\search-query.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 7, 66
"d:\Programming\Projects\library\client\src\components\forms\use-form-hook\use-form.hook.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\Programming\Projects\library\client\src\components\modals\modal.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
"d:\Programming\Projects\library\client\src\components\protected-route\protected-toute.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"d:\Programming\Projects\library\client\src\components\table\custom-table-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"d:\Programming\Projects\library\client\src\components\table\custom-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 5, 79
"d:\Programming\Projects\library\client\src\components\table\spanning-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database-form.component.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database.component.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 6, 93
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 1, 12, 122
"d:\Programming\Projects\library\client\src\dashboard\admin\hooks\http-requests.hooks.admin.js", "JavaScript", 0, 296, 0, 0, 0, 0, 0, 0, 39, 335
"d:\Programming\Projects\library\client\src\dashboard\admin\hooks\useSignOut.hooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.pages.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 11, 133
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.routes.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\issued-books\issued-books.database.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 7, 94
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\returned-books\returned-books.database.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 8, 95
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\homepage\homepage.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-book-route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 282, 0, 0, 0, 19, 301
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\return-issued-book\return-issued-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 183, 0, 0, 0, 12, 195
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\search-issued-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 151, 0, 0, 0, 12, 163
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 8, 78
