Date : 2024-01-30 19:25:05
Directory : d:\Programming\Projects\library
Total : 171 files,  34328 codes, 156 comments, 1354 blanks, all 35838 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          7 |     22,123 |          0 |          7 |     22,130 |
| JavaScript JSX |         98 |      7,562 |         27 |        680 |      8,269 |
| JavaScript     |         62 |      4,561 |        106 |        628 |      5,295 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| HTML           |          1 |         23 |         23 |          2 |         48 |
| CSS            |          1 |         12 |          0 |          2 |         14 |
| TypeScript JSX |          1 |          9 |          0 |          2 |         11 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        171 |     34,328 |        156 |      1,354 |     35,838 |
| . (Files)                                                                                                                                       |          2 |        331 |          0 |          2 |        333 |
| client                                                                                                                                          |        113 |     27,578 |         60 |        859 |     28,497 |
| client (Files)                                                                                                                                  |          4 |     18,630 |          0 |         36 |     18,666 |
| client\public                                                                                                                                   |          2 |         48 |         23 |          3 |         74 |
| client\src                                                                                                                                      |        107 |      8,900 |         37 |        820 |      9,757 |
| client\src (Files)                                                                                                                              |          3 |         44 |          0 |          7 |         51 |
| client\src\_codux                                                                                                                               |          1 |          9 |          0 |          2 |         11 |
| client\src\_codux\boards                                                                                                                        |          1 |          9 |          0 |          2 |         11 |
| client\src\components                                                                                                                           |         15 |        489 |          5 |         63 |        557 |
| client\src\components\feedback                                                                                                                  |          4 |         99 |          4 |         10 |        113 |
| client\src\components\feedback\dialog                                                                                                           |          1 |         44 |          0 |          2 |         46 |
| client\src\components\feedback\snackbar                                                                                                         |          2 |         45 |          4 |          6 |         55 |
| client\src\components\feedback\spinner                                                                                                          |          1 |         10 |          0 |          2 |         12 |
| client\src\components\forms                                                                                                                     |          6 |        135 |          1 |         26 |        162 |
| client\src\components\forms\hooks                                                                                                               |          1 |         16 |          0 |          4 |         20 |
| client\src\components\forms\hooks\useLengthTrigger                                                                                              |          1 |         16 |          0 |          4 |         20 |
| client\src\components\forms\input-field                                                                                                         |          1 |         13 |          1 |          4 |         18 |
| client\src\components\forms\input-select                                                                                                        |          1 |         25 |          0 |          3 |         28 |
| client\src\components\forms\link-button                                                                                                         |          1 |         10 |          0 |          3 |         13 |
| client\src\components\forms\search-query                                                                                                        |          1 |         59 |          0 |          7 |         66 |
| client\src\components\forms\use-form-hook                                                                                                       |          1 |         12 |          0 |          5 |         17 |
| client\src\components\modals                                                                                                                    |          1 |         51 |          0 |          5 |         56 |
| client\src\components\protected-route                                                                                                           |          1 |         29 |          0 |          6 |         35 |
| client\src\components\table                                                                                                                     |          3 |        175 |          0 |         16 |        191 |
| client\src\dashboard                                                                                                                            |         87 |      8,303 |         23 |        733 |      9,059 |
| client\src\dashboard (Files)                                                                                                                    |          2 |        351 |          3 |         30 |        384 |
| client\src\dashboard\admin                                                                                                                      |         43 |      3,754 |          1 |        348 |      4,103 |
| client\src\dashboard\admin\components                                                                                                           |          3 |        222 |          1 |         22 |        245 |
| client\src\dashboard\admin\components\database-form                                                                                             |          2 |        113 |          0 |         10 |        123 |
| client\src\dashboard\admin\components\navbar                                                                                                    |          1 |        109 |          1 |         12 |        122 |
| client\src\dashboard\admin\hooks                                                                                                                |          2 |        307 |          0 |         44 |        351 |
| client\src\dashboard\admin\pages                                                                                                                |         30 |      3,055 |          0 |        259 |      3,314 |
| client\src\dashboard\admin\pages\database                                                                                                       |          4 |        330 |          0 |         30 |        360 |
| client\src\dashboard\admin\pages\database (Files)                                                                                               |          2 |        156 |          0 |         15 |        171 |
| client\src\dashboard\admin\pages\database\issued-books                                                                                          |          1 |         87 |          0 |          7 |         94 |
| client\src\dashboard\admin\pages\database\returned-books                                                                                        |          1 |         87 |          0 |          8 |         95 |
| client\src\dashboard\admin\pages\homepage                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| client\src\dashboard\admin\pages\issue-book                                                                                                     |          7 |        948 |          0 |         73 |      1,021 |
| client\src\dashboard\admin\pages\issue-book (Files)                                                                                             |          1 |         32 |          0 |          3 |         35 |
| client\src\dashboard\admin\pages\issue-book\issue-new-book                                                                                      |          1 |        282 |          0 |         19 |        301 |
| client\src\dashboard\admin\pages\issue-book\return-issued-book                                                                                  |          1 |        183 |          0 |         12 |        195 |
| client\src\dashboard\admin\pages\issue-book\search-issued-books                                                                                 |          2 |        221 |          0 |         20 |        241 |
| client\src\dashboard\admin\pages\issue-book\searh-returned-books                                                                                |          2 |        230 |          0 |         19 |        249 |
| client\src\dashboard\admin\pages\manage-books                                                                                                   |          5 |        540 |          0 |         43 |        583 |
| client\src\dashboard\admin\pages\manage-books (Files)                                                                                           |          1 |         20 |          0 |          3 |         23 |
| client\src\dashboard\admin\pages\manage-books\add-book                                                                                          |          1 |        177 |          0 |          8 |        185 |
| client\src\dashboard\admin\pages\manage-books\book-accessions                                                                                   |          1 |        152 |          0 |         12 |        164 |
| client\src\dashboard\admin\pages\manage-books\search-books                                                                                      |          1 |        118 |          0 |         12 |        130 |
| client\src\dashboard\admin\pages\manage-books\view-book                                                                                         |          1 |         73 |          0 |          8 |         81 |
| client\src\dashboard\admin\pages\manage-staff                                                                                                   |          4 |        225 |          0 |         25 |        250 |
| client\src\dashboard\admin\pages\manage-staff (Files)                                                                                           |          1 |         20 |          0 |          3 |         23 |
| client\src\dashboard\admin\pages\manage-staff\add-staff                                                                                         |          1 |        109 |          0 |          6 |        115 |
| client\src\dashboard\admin\pages\manage-staff\search-staff                                                                                      |          1 |         62 |          0 |          9 |         71 |
| client\src\dashboard\admin\pages\manage-staff\view-staff                                                                                        |          1 |         34 |          0 |          7 |         41 |
| client\src\dashboard\admin\pages\manage-students                                                                                                |          7 |        899 |          0 |         75 |        974 |
| client\src\dashboard\admin\pages\manage-students (Files)                                                                                        |          1 |         31 |          0 |          3 |         34 |
| client\src\dashboard\admin\pages\manage-students\add-student                                                                                    |          1 |        310 |          0 |         19 |        329 |
| client\src\dashboard\admin\pages\manage-students\approve-student                                                                                |          2 |        224 |          0 |         20 |        244 |
| client\src\dashboard\admin\pages\manage-students\library-cards                                                                                  |          1 |        131 |          0 |         10 |        141 |
