"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"d:\Programming\Projects\library\books1-sorted.js", "JavaScript", 0, 11421, 0, 0, 0, 0, 2, 11423
"d:\Programming\Projects\library\books1.js", "JavaScript", 0, 49621, 0, 0, 0, 0, 2, 49623
"d:\Programming\Projects\library\client\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"d:\Programming\Projects\library\client\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Projects\library\client\public\index.html", "HTML", 0, 0, -2, 0, 0, 0, -1, -3
"d:\Programming\Projects\library\client\src\App.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -1
"d:\Programming\Projects\library\client\src\components\buttons\button.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 4, 17
"d:\Programming\Projects\library\client\src\components\buttons\button.styles.css", "CSS", 0, 0, 0, 22, 0, 0, 4, 26
"d:\Programming\Projects\library\client\src\components\context\snackbar.context.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 5, 31
"d:\Programming\Projects\library\client\src\components\feedback\backdrop\backdrop.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 2, 16
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-full.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 3, 21
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-old.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -4, 0, -4
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 4, 10, 46
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.styles.css", "CSS", 0, 0, 0, 35, 0, 0, 7, 42
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, 0, -6
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.styles.css", "CSS", 0, 0, 0, 13, 0, 0, 2, 15
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, -1, 0, 9
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.styles.css", "CSS", 0, 0, 0, 48, 0, 0, 6, 54
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, 0, -6
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.styles.css", "CSS", 0, 0, 0, 34, 0, 0, 5, 39
"d:\Programming\Projects\library\client\src\components\modals\form-dialoge.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 3, 26
"d:\Programming\Projects\library\client\src\components\table\custom-table-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -3, 0, 1, -2
"d:\Programming\Projects\library\client\src\components\table\custom-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -36, 0, -4, -40
"d:\Programming\Projects\library\client\src\components\table\spanning-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, -1, -7
"d:\Programming\Projects\library\client\src\components\table\table.styles.css", "CSS", 0, 0, 0, 36, 0, 0, 5, 41
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -56, 1, -4, -59
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.styles.css", "CSS", 0, 0, 0, 79, 0, 0, 10, 89
"d:\Programming\Projects\library\client\src\dashboard\admin\hooks\http-requests.hooks.admin.js", "JavaScript", 0, -116, 0, 0, 0, 1, 3, -112
