"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "TypeScript JSX", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Programming\Projects\library\books1-sorted.js", "JavaScript", 0, 11421, 0, 0, 0, 0, 0, 0, 2, 11423
"d:\Programming\Projects\library\books1.js", "JavaScript", 0, 49621, 0, 0, 0, 0, 0, 0, 2, 49623
"d:\Programming\Projects\library\client\.eslintrc.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"d:\Programming\Projects\library\client\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"d:\Programming\Projects\library\client\package-lock.json", "JSON", 18521, 0, 0, 0, 0, 0, 0, 0, 1, 18522
"d:\Programming\Projects\library\client\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"d:\Programming\Projects\library\client\public\index.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 23, 1, 45
"d:\Programming\Projects\library\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Programming\Projects\library\client\src\App.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Programming\Projects\library\client\src\_codux\boards\login-page.board.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\components\buttons\button.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"d:\Programming\Projects\library\client\src\components\buttons\button.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 22, 0, 4, 26
"d:\Programming\Projects\library\client\src\components\context\snackbar.context.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"d:\Programming\Projects\library\client\src\components\feedback\backdrop\backdrop.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"d:\Programming\Projects\library\client\src\components\feedback\dialog\alert-dialog.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 2, 46
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-full.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-old.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 4, 10, 46
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 35, 0, 7, 42
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"d:\Programming\Projects\library\client\src\components\forms\hooks\useLengthTrigger\uselengthTrigger.hook.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 6, 54
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 34, 0, 5, 39
"d:\Programming\Projects\library\client\src\components\forms\link-button\link-button.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Programming\Projects\library\client\src\components\forms\search-query\search-query.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 7, 66
"d:\Programming\Projects\library\client\src\components\forms\use-form-hook\use-form.hook.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\Programming\Projects\library\client\src\components\modals\form-dialoge.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"d:\Programming\Projects\library\client\src\components\modals\modal.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"d:\Programming\Projects\library\client\src\components\protected-route\protected-toute.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\Programming\Projects\library\client\src\components\table\custom-table-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 9, 77
"d:\Programming\Projects\library\client\src\components\table\custom-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"d:\Programming\Projects\library\client\src\components\table\spanning-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"d:\Programming\Projects\library\client\src\components\table\table.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 5, 41
"d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database-form.component.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"d:\Programming\Projects\library\client\src\dashboard\admin\components\database-form\database.component.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 6, 93
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 53, 0, 2, 8, 63
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 79, 0, 10, 89
"d:\Programming\Projects\library\client\src\dashboard\admin\hooks\http-requests.hooks.admin.js", "JavaScript", 0, 180, 0, 0, 0, 0, 0, 1, 42, 223
"d:\Programming\Projects\library\client\src\dashboard\admin\hooks\useSignOut.hooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.pages.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 11, 133
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\database.routes.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 4, 38
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\issued-books\issued-books.database.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 7, 94
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\database\returned-books\returned-books.database.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 8, 95
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\homepage\homepage.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-book-route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 275, 0, 0, 23, 298
