Date : 2024-03-18 12:06:55
Directory : d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff
Total : 203 files,  -107512 codes, -98 comments, -1450 blanks, all -109060 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |          1 |         -9 |          0 |         -2 |        -11 |
| Markdown       |          1 |        -38 |          0 |        -33 |        -71 |
| HTML           |          2 |        -39 |        -23 |         -2 |        -64 |
| CSS            |         14 |       -378 |          0 |        -58 |       -436 |
| JavaScript JSX |        106 |     -7,634 |        -25 |       -720 |     -8,379 |
| JSON           |          7 |    -22,229 |          0 |         -7 |    -22,236 |
| JavaScript     |         72 |    -77,185 |        -50 |       -628 |    -77,863 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        203 |   -107,512 |        -98 |     -1,450 |   -109,060 |
| ..                                                                                                                                              |        200 |   -107,468 |        -98 |     -1,456 |   -109,022 |
| ..\..                                                                                                                                           |        166 |   -104,489 |        -97 |     -1,183 |   -105,769 |
| ..\..\..                                                                                                                                        |        151 |   -103,870 |        -94 |     -1,082 |   -105,046 |
| ..\..\.. (Files)                                                                                                                                |          2 |       -149 |         -3 |        -26 |       -178 |
| ..\..\..\..                                                                                                                                     |        106 |    -99,379 |        -75 |       -678 |   -100,132 |
| ..\..\..\.. (Files)                                                                                                                             |          3 |        -69 |          0 |        -11 |        -80 |
| ..\..\..\..\..                                                                                                                                  |         75 |    -98,490 |        -62 |       -535 |    -99,087 |
| ..\..\..\..\.. (Files)                                                                                                                          |          4 |    -18,637 |          0 |        -36 |    -18,673 |
| ..\..\..\..\..\..                                                                                                                               |         69 |    -79,807 |        -39 |       -497 |    -80,343 |
| ..\..\..\..\..\.. (Files)                                                                                                                       |          4 |    -61,373 |          0 |         -6 |    -61,379 |
| ..\..\..\..\..\..\server                                                                                                                        |         65 |    -18,434 |        -39 |       -491 |    -18,964 |
| ..\..\..\..\..\..\server (Files)                                                                                                                |          3 |    -14,723 |          0 |         -4 |    -14,727 |
| ..\..\..\..\..\..\server\src                                                                                                                    |         62 |     -3,711 |        -39 |       -487 |     -4,237 |
| ..\..\..\..\..\..\server\src (Files)                                                                                                            |          4 |        -65 |         -2 |        -18 |        -85 |
| ..\..\..\..\..\..\server\src\models                                                                                                             |         23 |       -850 |         -1 |       -167 |     -1,018 |
| ..\..\..\..\..\..\server\src\models\applications                                                                                                |          2 |        -52 |          0 |        -10 |        -62 |
| ..\..\..\..\..\..\server\src\models\auth                                                                                                        |          5 |       -153 |         -1 |        -29 |       -183 |
| ..\..\..\..\..\..\server\src\models\auth (Files)                                                                                                |          2 |        -77 |         -1 |        -11 |        -89 |
| ..\..\..\..\..\..\server\src\models\auth\admin                                                                                                  |          1 |        -24 |          0 |         -6 |        -30 |
| ..\..\..\..\..\..\server\src\models\auth\applicant                                                                                              |          1 |        -37 |          0 |         -7 |        -44 |
| ..\..\..\..\..\..\server\src\models\auth\student                                                                                                |          1 |        -15 |          0 |         -5 |        -20 |
| ..\..\..\..\..\..\server\src\models\book-accessions                                                                                             |          2 |        -40 |          0 |         -9 |        -49 |
| ..\..\..\..\..\..\server\src\models\books                                                                                                       |          2 |        -98 |          0 |        -18 |       -116 |
| ..\..\..\..\..\..\server\src\models\fines                                                                                                       |          2 |        -42 |          0 |        -12 |        -54 |
| ..\..\..\..\..\..\server\src\models\issue-book                                                                                                  |          2 |       -125 |          0 |        -22 |       -147 |
| ..\..\..\..\..\..\server\src\models\library-cards                                                                                               |          2 |        -50 |          0 |        -10 |        -60 |
| ..\..\..\..\..\..\server\src\models\returned-book                                                                                               |          2 |       -197 |          0 |        -33 |       -230 |
| ..\..\..\..\..\..\server\src\models\staff                                                                                                       |          2 |        -31 |          0 |         -8 |        -39 |
| ..\..\..\..\..\..\server\src\models\students                                                                                                    |          2 |        -62 |          0 |        -16 |        -78 |
| ..\..\..\..\..\..\server\src\router                                                                                                             |         28 |     -2,027 |        -20 |       -231 |     -2,278 |
| ..\..\..\..\..\..\server\src\router (Files)                                                                                                     |          1 |        -90 |          0 |        -15 |       -105 |
| ..\..\..\..\..\..\server\src\router\admin                                                                                                       |         15 |     -1,360 |        -14 |       -137 |     -1,511 |
| ..\..\..\..\..\..\server\src\router\admin (Files)                                                                                               |          1 |        -13 |          0 |         -4 |        -17 |
| ..\..\..\..\..\..\server\src\router\admin\books                                                                                                 |          2 |       -172 |          0 |        -15 |       -187 |
| ..\..\..\..\..\..\server\src\router\admin\database                                                                                              |          1 |       -163 |          0 |        -14 |       -177 |
| ..\..\..\..\..\..\server\src\router\admin\fines                                                                                                 |          2 |        -55 |          0 |         -9 |        -64 |
| ..\..\..\..\..\..\server\src\router\admin\issue-book                                                                                            |          2 |       -333 |         -6 |        -28 |       -367 |
| ..\..\..\..\..\..\server\src\router\admin\return-book                                                                                           |          2 |       -240 |         -6 |        -25 |       -271 |
| ..\..\..\..\..\..\server\src\router\admin\settings                                                                                              |          1 |        -45 |          0 |         -6 |        -51 |
| ..\..\..\..\..\..\server\src\router\admin\staff                                                                                                 |          2 |        -77 |          0 |        -10 |        -87 |
| ..\..\..\..\..\..\server\src\router\admin\students                                                                                              |          2 |       -262 |         -2 |        -26 |       -290 |
| ..\..\..\..\..\..\server\src\router\applicant                                                                                                   |          1 |        -41 |          0 |         -6 |        -47 |
| ..\..\..\..\..\..\server\src\router\auth                                                                                                        |         10 |       -497 |         -6 |        -68 |       -571 |
| ..\..\..\..\..\..\server\src\router\auth (Files)                                                                                                |          4 |       -129 |          0 |        -26 |       -155 |
| ..\..\..\..\..\..\server\src\router\auth\admin                                                                                                  |          2 |       -148 |          0 |        -13 |       -161 |
| ..\..\..\..\..\..\server\src\router\auth\applicants                                                                                             |          2 |       -176 |         -6 |        -22 |       -204 |
| ..\..\..\..\..\..\server\src\router\auth\students                                                                                               |          2 |        -44 |          0 |         -7 |        -51 |
| ..\..\..\..\..\..\server\src\router\student                                                                                                     |          1 |        -39 |          0 |         -5 |        -44 |
| ..\..\..\..\..\..\server\src\router\student\issue-history                                                                                       |          1 |        -39 |          0 |         -5 |        -44 |
| ..\..\..\..\..\..\server\src\services                                                                                                           |          4 |       -147 |        -10 |        -22 |       -179 |
| ..\..\..\..\..\..\server\src\utils                                                                                                              |          3 |       -622 |         -6 |        -49 |       -677 |
| ..\..\..\..\..\public                                                                                                                           |          2 |        -46 |        -23 |         -2 |        -71 |
| ..\..\..\..\_codux                                                                                                                              |          1 |         -9 |          0 |         -2 |        -11 |
| ..\..\..\..\_codux\boards                                                                                                                       |          1 |         -9 |          0 |         -2 |        -11 |
| ..\..\..\..\components                                                                                                                          |         26 |       -756 |         -4 |       -115 |       -875 |
| ..\..\..\..\components\buttons                                                                                                                  |          2 |        -35 |          0 |         -8 |        -43 |
| ..\..\..\..\components\context                                                                                                                  |          1 |        -26 |          0 |         -5 |        -31 |
| ..\..\..\..\components\feedback                                                                                                                 |          8 |       -205 |         -4 |        -34 |       -243 |
| ..\..\..\..\components\feedback\backdrop                                                                                                        |          1 |        -14 |          0 |         -2 |        -16 |
| ..\..\..\..\components\feedback\dialog                                                                                                          |          1 |        -44 |          0 |         -2 |        -46 |
| ..\..\..\..\components\feedback\snackbar                                                                                                        |          4 |       -130 |         -4 |        -26 |       -160 |
| ..\..\..\..\components\feedback\spinner                                                                                                         |          2 |        -17 |          0 |         -4 |        -21 |
| ..\..\..\..\components\forms                                                                                                                    |          8 |       -221 |          0 |        -37 |       -258 |
| ..\..\..\..\components\forms\hooks                                                                                                              |          1 |        -16 |          0 |         -4 |        -20 |
| ..\..\..\..\components\forms\hooks\useLengthTrigger                                                                                             |          1 |        -16 |          0 |         -4 |        -20 |
| ..\..\..\..\components\forms\input-field                                                                                                        |          2 |        -71 |          0 |        -10 |        -81 |
| ..\..\..\..\components\forms\input-select                                                                                                       |          2 |        -53 |          0 |         -8 |        -61 |
| ..\..\..\..\components\forms\link-button                                                                                                        |          1 |        -10 |          0 |         -3 |        -13 |
| ..\..\..\..\components\forms\search-query                                                                                                       |          1 |        -59 |          0 |         -7 |        -66 |
| ..\..\..\..\components\forms\use-form-hook                                                                                                      |          1 |        -12 |          0 |         -5 |        -17 |
| ..\..\..\..\components\modals                                                                                                                   |          2 |        -74 |          0 |         -8 |        -82 |
| ..\..\..\..\components\protected-route                                                                                                          |          1 |        -29 |          0 |         -6 |        -35 |
| ..\..\..\..\components\table                                                                                                                    |          4 |       -166 |          0 |        -17 |       -183 |
| ..\..\..\..\utils                                                                                                                               |          1 |        -55 |         -9 |        -15 |        -79 |
| ..\..\..\applicant                                                                                                                              |          3 |       -449 |          0 |        -31 |       -480 |
| ..\..\..\login-page                                                                                                                             |          4 |       -465 |         -2 |        -43 |       -510 |
| ..\..\..\staff                                                                                                                                  |         31 |     -3,161 |        -14 |       -279 |     -3,454 |
| ..\..\..\staff\components                                                                                                                       |          1 |       -102 |          0 |        -11 |       -113 |
